NO,최초입사연도,산지,마번,마명,생산국,성별,털색,부마,모마,생산자,경매일,경매가,최초경주마입사일,출전,1위횟수,2위횟수,수득상금,승률,최고군,최초출전일,입사시조,입사시조교사,최초출발검사합격일,출생년도,심사 합격마,육성훈련합격일,육성조련사,경주마가격,포입여부
6698,2021,국산,44396,글로벌여신,한국,암,밤색,빅스,내츄럴뷰티,태영영농조합법인,2021-07-06,"20,000,000",2021-09-26,3,1,0,33000000,33.3,5,2021-12-03,32,임동창,2021-10-30,2019,1,2021-09-18,윤치운,"20,000,000",
6105,2021,국산,43812,매직모카신,한국,암,갈색,선더모카신,온리포윈,고창범,,,2021-10-02,1,0,0,3000000,0,6,2021-12-26,7,구자흥,2021-11-24,2019,1,2021-09-18,이재현,,
5891,2021,국산,43789,철각파워,한국,수,밤색,선더모카신,짤스캠프,샘물영농조합법인,,,2021-10-02,,,,,,,,7,구자흥,2022-01-26,2019,1,2021-09-18,이재현,,
6466,2021,국산,44474,슈퍼다이아,한국,암,밤색,올드패션드,블리스터링스트라,이용대,2021-07-06,"34,000,000",2021-10-02,2,0,0,7200000,0,6,2022-01-22,34,리카디,2021-12-01,2019,1,2021-09-18,김경남,"34,000,000",
5841,2021,국산,43657,원평스카이,한국,거,갈색,위드디스팅션,나이트스카이,배은정,,,2021-10-16,,,,,,6,,10,정호익,2021-12-15,2019,1,2021-09-18,윤치운,,
6544,2021,국산,44531,채플프린세스,한국,암,갈색,채플로열,아쿠아프린세스,최종복,,,2021-10-30,,,,,,6,,12,서범석,2021-12-15,2019,1,2021-09-18,김경남,"5,300,000",
6568,2021,국산,44529,상승보이,한국,거,갈색,카우보이칼,상승거탑,최민석,2020-12-22,"20,000,000",2021-10-03,3,2,0,71600000,66.7,4,2021-12-24,9,양귀선,2021-11-13,2019,1,2021-09-18,김경남,"20,000,000",
6604,2021,국산,44363,아델플라이,한국,수,갈색,커널존,버터플라이,김성묵,2021-05-11,"50,000,000",2021-09-26,2,0,0,,0,6,2021-11-07,1,백광열,2021-10-06,2019,1,2021-09-18,한국생협A,"50,000,000",
6823,2021,국산,44587,퀵실버,한국,암,갈색,커널존,대산여제,정이남,,,2021-12-18,,,,,,6,,33,서인석,2022-01-12,2019,1,2021-09-18,한국생협C,,
6411,2021,국산,43870,콩코드퀸,한국,암,갈색,콩코드포인트,백두캣,김기석,,,2021-10-16,3,0,0,7600000,0,6,2021-12-26,22,안병기,2021-11-24,2019,1,2021-09-18,한국생협A,,
6600,2021,국산,44816,그레이트제니,한국,암,밤색,탐라에이스,제니천왕,김기석,,,2021-10-02,4,0,0,2400000,0,6,2021-12-18,31,강환민,2021-11-03,2019,1,2021-09-18,한국생협A,,
6828,2021,국산,44378,테이크머니,한국,거,갈색,테이크차지인디,리버포리스트,김용래,,,2021-09-25,3,0,0,,0,6,2021-11-27,22,안병기,2021-10-13,2019,1,2021-09-18,전기혁,,
6305,2021,국산,44071,풍운조화,한국,암,갈색,투아너앤드서브,라스트일루전,이남일,,,2021-10-31,2,0,0,,0,6,2022-02-11,2,강형곤,2022-01-05,2019,1,2021-09-18,김영주,,
6899,2021,국산,44832,젠틀룰즈,한국,암,갈색,피스룰즈,젠틀그웬,양희철,2021-10-26,"5,000,000",2021-11-13,1,0,0,,0,6,2022-01-22,32,김윤섭,2021-12-01,2019,1,2021-09-18,김영주,"5,000,000",
6517,2021,국산,44156,동방의혼,한국,수,밤색,피스룰즈,유정여장군,최정열,,,2021-10-02,4,0,0,5600000,0,6,2021-11-13,33,서인석,2021-10-21,2019,1,2021-09-18,한국생협B,"20,000,000",
5951,2021,국산,44771,나올세상,한국,암,밤색,한센,커리큘러,최정열,,,2021-11-13,2,0,0,,0,6,2022-01-23,33,서인석,2021-11-24,2019,1,2021-09-18,한국생협B,"20,000,000",
6888,2021,국산,44489,차돌런,한국,암,갈색,AMERICAN FREEDOM,머큐리얼메니스,이용대,2021-07-06,"30,000,000",2021-10-02,4,0,0,,0,6,2021-12-04,6,홍대유,2021-11-04,2019,1,2021-09-10,전호용,"30,000,000",포입말
6057,2021,국산,43751,블러드문,한국,암,갈색,경부대로,최초로,조천근,,,2021-09-18,3,0,0,5600000,0,6,2021-12-26,49,지용철,2021-11-17,2019,1,2021-09-10,박복규,"15,000,000",
6874,2021,국산,44834,그린드래건,한국,암,갈색,아치아치아치,용두성,임화정,2021-10-26,"20,000,000",2021-10-30,1,0,1,8800000,0,6,2022-03-05,6,홍대유,2021-11-17,2019,1,2021-09-10,이상근,"20,000,000",
6570,2021,국산,44034,스피드블랙,한국,거,갈색,에치드,임팩트퀸,이상영,,,2021-09-11,,,,,,,,5,우창구,2021-10-29,2019,1,2021-09-10,최종필,"30,000,000",
6900,2021,국산,44861,켄드릭,한국,수,흑갈색,테이크차지인디,캐쥬얼프라이데이,대천팜,2021-05-11,"30,000,000",2021-09-23,2,1,1,30800000,50,5,2022-01-09,15,안우성,2021-11-10,2019,1,2021-09-10,최종필,"30,000,000",
6254,2021,국산,43702,비케이뉴문,한국,암,갈색,테이크차지인디,유성타이거,이광림,2021-07-06,"20,000,000",2021-10-10,3,0,2,17600000,0,5,2022-01-23,2,강형곤,2021-12-11,2019,1,2021-09-10,전호용,"20,000,000",
6933,2021,국산,44405,송암드래건,한국,암,갈색,티즈웨이,송암론다도르,농업회사법인(주)송암축산,,,2021-11-25,,,,,,6,,32,김윤섭,2021-12-22,2019,1,2021-09-10,조근원,,
6318,2021,국산,44021,티즈탭탭,한국,암,갈색,티즈웨이,탭탭안토니에타,농업회사법인(주)송암축산,,,2021-11-04,,,,,,,,12,서범석,2021-12-15,2019,1,2021-09-10,조근원,,
5947,2021,국산,43824,컴플리트조이,한국,암,밤색,포리스트캠프,신세계신화,김영선,2021-05-11,"20,000,000",2021-11-06,2,0,0,,0,6,2022-01-09,50,박재우,2021-12-08,2019,1,2021-09-10,김용선,"20,000,000",
6892,2021,국산,44856,연희사랑,한국,암,갈색,포리스트캠프,콰이어트터치,김영석,2021-07-06,"20,000,000",2021-10-02,2,0,0,,0,6,2021-12-18,6,홍대유,2021-11-10,2019,1,2021-09-10,전호용,"20,000,000",
6429,2021,국산,43980,백두걸,한국,암,밤색,한센,안정성,유철민,2021-06-22,"37,000,000",2021-09-16,3,2,0,68000000,66.7,4,2021-12-18,50,박재우,2021-10-14,2019,1,2021-09-10,김용선,"37,000,000",
